#Copyright 2025 Beta ORI Inc. Canada. Awase Khirni Syed 
#Captable schema

ID	schema_name	object_name	object_type	description	feature_reference	column_names	constraints/notes	junction_tables
T01	cap_table	companies	Table	Stores information about portfolio companies	F01-F20	company_id (PK), name, legal_name, incorporation_date, jurisdiction, entity_type, address, phone, email, website, description, industry, stage, created_at, updated_at	company_id UNIQUE	company_stakeholders, company_documents
T02	cap_table	securities	Table	Stores information about all securities	F21-F35	security_id (PK), company_id (FK), security_type_id (FK), share_class_id (FK), name, description, authorized_shares, issued_shares, outstanding_shares, par_value, created_at, updated_at	security_id UNIQUE	security_holders, security_transactions
T03	cap_table	security_types	Table	Defines types of securities	F21-F35	security_type_id (PK), name, description, is_convertible, has_voting_rights, has_dividend_rights, created_at, updated_at	security_type_id UNIQUE	securities
T04	cap_table	share_classes	Table	Defines share classes for securities	F22-F26	share_class_id (PK), company_id (FK), name, description, liquidation_preference, participation_rights, conversion_rights, voting_rights, dividend_rights, created_at, updated_at	share_class_id UNIQUE	securities
T05	cap_table	stakeholders	Table	Stores information about all stakeholders	F36-F45	stakeholder_id (PK), stakeholder_type_id (FK), first_name, last_name, company_name, email, phone, address, tax_id, created_at, updated_at	stakeholder_id UNIQUE	stakeholder_securities, stakeholder_communications
T06	cap_table	stakeholder_types	Table	Defines types of stakeholders	F42	stakeholder_type_id (PK), name, description, created_at, updated_at	stakeholder_type_id UNIQUE	stakeholders
T07	cap_table	stakeholder_securities	Table	Links stakeholders to their security holdings	F13-F15	stakeholder_security_id (PK), stakeholder_id (FK), security_id (FK), shares_owned, shares_acquired, shares_exercised, percentage_ownership, acquisition_date, acquisition_price, created_at, updated_at	stakeholder_security_id UNIQUE	stakeholders, securities
T08	cap_table	cap_tables	Table	Stores cap table versions	F01, F11	cap_table_id (PK), company_id (FK), version_number, effective_date, total_shares_outstanding, fully_diluted_shares, created_at, updated_at	cap_table_id UNIQUE	cap_table_securities
T09	cap_table	cap_table_versions	Table	Tracks version history of cap tables	F11	cap_table_version_id (PK), cap_table_id (FK), version_number, change_description, created_by (FK), created_at	cap_table_version_id UNIQUE	cap_tables
T10	cap_table	share_certificates	Table	Stores information about share certificates	F07	certificate_id (PK), security_id (FK), stakeholder_id (FK), certificate_number, issue_date, shares, created_at, updated_at	certificate_id UNIQUE	securities, stakeholders
T11	cap_table	stock_ledger	Table	Stores official stock ledger entries	F08	ledger_id (PK), company_id (FK), transaction_id (FK), security_id (FK), stakeholder_id (FK), transaction_type, shares_before, shares_change, shares_after, transaction_date, created_at	ledger_id UNIQUE	transactions
T12	cap_table	authorized_shares	Table	Tracks authorized shares for each security	F05	authorized_share_id (PK), security_id (FK), authorized_shares, date_authorized, board_approval_id (FK), created_at, updated_at	authorized_share_id UNIQUE	securities
T13	cap_table	issued_shares	Table	Tracks issued shares for each security	F05	issued_share_id (PK), security_id (FK), stakeholder_id (FK), shares_issued, issue_date, issue_price, created_at, updated_at	issued_share_id UNIQUE	securities, stakeholders
T14	cap_table	treasury_shares	Table	Tracks treasury shares for each company	F16	treasury_share_id (PK), company_id (FK), security_id (FK), shares, acquisition_date, acquisition_price, created_at, updated_at	treasury_share_id UNIQUE	companies, securities
T15	cap_table	option_pools	Table	Tracks option pools for each company	F94	option_pool_id (PK), company_id (FK), name, total_shares, available_shares, used_shares, created_at, updated_at	option_pool_id UNIQUE	companies
T16	cap_table	option_grants	Table	Tracks option grants	F30, F48	option_grant_id (PK), stakeholder_id (FK), option_pool_id (FK), grant_date, shares_granted, exercise_price, vesting_schedule_id (FK), expiration_date, created_at, updated_at	option_grant_id UNIQUE	stakeholders, option_pools
T17	cap_table	stock_options	Table	Tracks stock options	F30	stock_option_id (PK), option_grant_id (FK), shares_exercised, exercise_date, exercise_price, created_at, updated_at	stock_option_id UNIQUE	option_grants
T18	cap_table	warrants	Table	Tracks warrants	F31, F50, F51	warrant_id (PK), company_id (FK), stakeholder_id (FK), issue_date, shares_warranted, exercise_price, expiration_date, created_at, updated_at	warrant_id UNIQUE	companies, stakeholders
T19	cap_table	rsus	Table	Tracks RSUs	F32, F52, F53	rsu_id (PK), stakeholder_id (FK), grant_date, shares_granted, vesting_schedule_id (FK), created_at, updated_at	rsu_id UNIQUE	stakeholders
T20	cap_table	sars	Table	Tracks SARs	F33	sar_id (PK), stakeholder_id (FK), grant_date, shares_granted, vesting_schedule_id (FK), created_at, updated_at	sar_id UNIQUE	stakeholders
T21	cap_table	phantom_stock	Table	Tracks phantom stock	F34	phantom_stock_id (PK), stakeholder_id (FK), grant_date, shares_granted, vesting_schedule_id (FK), created_at, updated_at	phantom_stock_id UNIQUE	stakeholders
T22	cap_table	convertible_instruments	Table	Tracks convertible instruments	F27-F29, F54, F55	convertible_instrument_id (PK), company_id (FK), stakeholder_id (FK), instrument_type, issue_date, principal_amount, discount_rate, valuation_cap, maturity_date, conversion_terms, created_at, updated_at	convertible_instrument_id UNIQUE	companies, stakeholders
T23	cap_table	financing_rounds	Table	Tracks financing rounds	F60, F81, F96	financing_round_id (PK), company_id (FK), round_name, round_type, announcement_date, closing_date, amount_raised, pre_money_valuation, post_money_valuation, created_at, updated_at	financing_round_id UNIQUE	companies
T24	cap_table	investors	Table	Tracks investor information	F36	investor_id (PK), stakeholder_id (FK), investor_type, investment_focus, preferred_contact_method, created_at, updated_at	investor_id UNIQUE	stakeholders
T25	cap_table	founders	Table	Tracks founder information	F37	founder_id (PK), stakeholder_id (FK), title, equity_percentage, vesting_schedule_id (FK), created_at, updated_at	founder_id UNIQUE	stakeholders
T26	cap_table	employees	Table	Tracks employee information	F38	employee_id (PK), stakeholder_id (FK), employee_id_number, hire_date, title, department, created_at, updated_at	employee_id UNIQUE	stakeholders
T27	cap_table	board_members	Table	Tracks board member information	F39	board_member_id (PK), stakeholder_id (FK), title, committee_assignments, start_date, end_date, created_at, updated_at	board_member_id UNIQUE	stakeholders
T28	cap_table	advisors	Table	Tracks advisor information	F40	advisor_id (PK), stakeholder_id (FK), advisory_type, start_date, end_date, created_at, updated_at	advisor_id UNIQUE	stakeholders
T29	cap_table	vesting_schedules	Table	Tracks vesting schedules	F93, F149	vesting_schedule_id (PK), name, description, vesting_type, cliff_period, vesting_period, total_vesting_period, created_at, updated_at	vesting_schedule_id UNIQUE	option_grants, rsus, sars, phantom_stock
